country,year,total_hourly_pay_for_time_worked
gbr,2009,21.079999923706055
gbr,2010,20.93000030517578
gbr,2011,21.959999084472656
gbr,2012,22.190000534057617
gbr,2013,22.280000686645508
usa,1996,15.739999771118164
usa,1997,16.209999084472656
usa,1998,16.6299991607666
usa,1999,17.139999389648438
usa,2000,17.760000228881836
usa,2001,18.43000030517578
usa,2002,19.149999618530273
usa,2003,19.760000228881836
usa,2004,20.25
usa,2005,20.719999313354492
usa,2006,20.90999984741211
usa,2007,21.5
usa,2008,22.15999984741211
usa,2009,23.040000915527344
usa,2010,23.309999465942383
usa,2011,23.690000534057617
usa,2012,23.920000076293945
usa,2013,24.350000381469727
