country,year,total_hourly_directly_paid_benefits
esp,2011,5.679999828338623
esp,2012,5.369999885559082
esp,2013,5.639999866485596
swe,1996,2.680000066757202
swe,1997,2.490000009536743
swe,1998,2.5199999809265137
swe,1999,2.5
swe,2000,2.359999895095825
swe,2001,2.2300000190734863
swe,2002,2.5199999809265137
swe,2003,3.180000066757202
swe,2004,3.609999895095825
swe,2005,3.6700000762939453
swe,2006,3.8399999141693115
swe,2007,4.389999866485596
swe,2008,4.679999828338623
swe,2009,4.25
swe,2010,4.53000020980835
swe,2011,5.150000095367432
swe,2012,5.190000057220459
swe,2013,5.53000020980835
che,1996,6.349999904632568
che,1997,5.440000057220459
che,1998,5.539999961853027
che,1999,5.300000190734863
che,2000,4.820000171661377
che,2001,5.170000076293945
che,2002,5.860000133514404
che,2003,6.809999942779541
che,2004,7.179999828338623
che,2005,7.650000095367432
che,2006,8.140000343322754
che,2007,8.699999809265137
che,2008,9.880000114440918
che,2009,9.729999542236328
che,2010,9.510000228881836
che,2011,11.239999771118164
che,2012,11.609999656677246
che,2013,11.979999542236328
gbr,1996,2.6500000953674316
gbr,1997,2.950000047683716
gbr,1998,3.2300000190734863
gbr,1999,3.3499999046325684
gbr,2000,3.299999952316284
gbr,2001,3.140000104904175
gbr,2002,3.1600000858306885
gbr,2003,3.3499999046325684
gbr,2004,3.5199999809265137
gbr,2005,3.740000009536743
gbr,2006,4.0
gbr,2007,4.590000152587891
gbr,2008,4.489999771118164
gbr,2009,3.9100000858306885
gbr,2010,3.9000000953674316
gbr,2011,4.119999885559082
gbr,2012,4.190000057220459
gbr,2013,4.199999809265137
usa,1996,1.9900000095367432
usa,1997,1.9800000190734863
usa,1998,1.9900000095367432
usa,1999,1.9900000095367432
usa,2000,2.0999999046325684
usa,2001,2.240000009536743
usa,2002,2.380000114440918
usa,2003,2.5
usa,2004,2.5199999809265137
usa,2005,2.6700000762939453
usa,2006,2.700000047683716
usa,2007,2.869999885559082
usa,2008,2.930000066757202
usa,2009,2.9200000762939453
usa,2010,2.950000047683716
usa,2011,3.1700000762939453
usa,2012,3.2200000286102295
usa,2013,3.309999942779541
