country,year,total_hourly_direct_pay_as_percentage_of_total_hourly_compensation_costs
esp,2007,73.9000015258789
esp,2008,74.30000305175781
esp,2009,73.5
esp,2010,74.0
esp,2011,74.69999694824219
esp,2012,74.0
esp,2013,74.19999694824219
swe,1996,69.69999694824219
swe,1997,69.4000015258789
swe,1998,69.30000305175781
swe,1999,68.9000015258789
swe,2000,68.4000015258789
swe,2001,68.0
swe,2002,67.9000015258789
swe,2003,67.0
swe,2004,66.9000015258789
swe,2005,66.80000305175781
swe,2006,67.69999694824219
swe,2007,66.30000305175781
swe,2008,67.69999694824219
swe,2009,67.5
swe,2010,68.30000305175781
swe,2011,69.0
swe,2012,69.30000305175781
swe,2013,69.5999984741211
che,1996,84.5999984741211
che,1997,84.5999984741211
che,1998,84.5999984741211
che,1999,84.5999984741211
che,2000,84.5999984741211
che,2001,84.5
che,2002,84.4000015258789
che,2003,84.5
che,2004,84.5999984741211
che,2005,84.5
che,2006,84.5
che,2007,84.5
che,2008,84.5999984741211
che,2009,84.5999984741211
che,2010,84.69999694824219
che,2011,84.69999694824219
che,2012,81.5999984741211
che,2013,81.5999984741211
twn,1996,86.19999694824219
twn,1997,86.5999984741211
twn,1998,86.5999984741211
twn,1999,86.4000015258789
twn,2000,85.80000305175781
twn,2001,86.0999984741211
twn,2002,86.9000015258789
twn,2003,87.69999694824219
twn,2004,87.80000305175781
twn,2005,87.0
twn,2006,86.5
twn,2007,85.80000305175781
twn,2008,85.30000305175781
twn,2009,85.0999984741211
twn,2010,85.19999694824219
twn,2011,85.5999984741211
twn,2012,85.4000015258789
twn,2013,85.4000015258789
gbr,1996,81.80000305175781
gbr,1997,82.4000015258789
gbr,1998,83.0
gbr,1999,82.5
gbr,2000,82.69999694824219
gbr,2001,83.69999694824219
gbr,2002,84.5999984741211
gbr,2003,85.0
gbr,2004,85.69999694824219
gbr,2005,85.5999984741211
gbr,2006,85.5
gbr,2007,85.30000305175781
gbr,2008,85.19999694824219
gbr,2009,85.4000015258789
gbr,2010,85.69999694824219
gbr,2011,85.4000015258789
gbr,2012,85.5
gbr,2013,85.5
usa,1996,78.9000015258789
usa,1997,79.0
usa,1998,79.30000305175781
usa,1999,79.69999694824219
usa,2000,79.5999984741211
usa,2001,78.9000015258789
usa,2002,78.69999694824219
usa,2003,78.0
usa,2004,77.69999694824219
usa,2005,77.69999694824219
usa,2006,77.5
usa,2007,76.0
usa,2008,76.5999984741211
usa,2009,75.9000015258789
usa,2010,75.5999984741211
usa,2011,75.69999694824219
usa,2012,76.19999694824219
usa,2013,76.0999984741211
